Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
314150,1209,3797,9.890639446,0.814526857,0.978403837,0.810523288,0.472042407,0.784262074,0.358436891,0.860051161,0.328736945,0.801304561,-12.32386258,0.865721087,2003259,2004035
315473,1209,3798,25.3180511,0.783235597,0.536477449,0.825293281,0.332202903,0.830149986,-16.34616653,0.844501628,-0.189249482,0.871195156,NA,NA,2004013,2003047
397137,1209,3799,24.9518329,0.814304611,0.144236541,0.843169615,0.681252056,0.806134604,-25.27954796,0.88481693,0.33751297,0.820328593,NA,NA,850055,850091
313049,1208,3800,21.04541423,0.858806148,0.59773518,0.866578329,0.670803154,0.851490458,-2.558614275,0.92260555,-0.114957843,0.874916567,-11.28073469,0.907332905,2003303,2003021
313128,1208,3801,9.7457254,0.846788049,0.705699173,0.887228268,0.572051477,0.865500433,6.773798853,0.937160072,0.408127362,0.914968305,-12.54537615,0.864270791,2003259,2004035
315512,1208,3802,21.91304363,0.749239615,1.503428515,0.750729645,1.000812562,0.778729735,-1.703538289,0.787560156,-0.681536405,0.812930501,NA,NA,2004022,2003101
880739,1208,3803,5.134528879,0.985768228,1.531756908,0.987842599,0.863511874,0.985420215,9.873521496,0.987768698,0.224911487,0.98191853,-5.469620849,0.971114308,268294,NA
2006206,1208,3804,9.16998991,0.952546062,-0.066806335,0.967888423,-0.089721097,0.953376631,15.21628344,0.966973629,0.610687348,0.954260447,-4.709102964,0.915970524,885046,NA
317131,1207,3805,6.721516357,0.809264481,0.205508293,0.863521858,0.156659349,0.821487675,5.431927523,0.8682085,0.859974477,0.814409602,2.251688932,0.793979849,2006208,2006201
3180981,1207,3806,15.26905766,0.797131733,0.73218402,0.85165486,0.284874551,0.810504781,-10.54644579,0.846151878,0.269218066,0.741078943,4.920527415,0.826231203,2003170,2003164
313296,1206,3807,19.32967425,0.878278999,0.751387772,0.904513681,0.509000496,0.888383363,-9.751677203,0.946945088,0.008034852,0.924821604,-11.70162641,0.896592438,2004010,2003047
313542,1206,3808,18.41631533,0.88054415,0.708999466,0.909817015,0.33616758,0.894177835,10.14199784,0.944381808,-0.328216928,0.919786388,-6.587150921,0.912558491,2003369,2004046
314517,1206,3809,16.57037416,0.766925681,0.995325209,0.788546765,0.967740418,0.752964807,15.98186596,0.822935599,-0.34090926,0.754304978,-8.240758312,0.814679078,2004063,2004022
317808,1206,3810,9.661192418,0.740436358,-0.027952062,0.784082904,0.209728665,0.753531021,0.751576259,0.8049031,0.901463231,0.708556984,-4.875503061,0.756005291,2006242,2006208
397077,1206,3811,12.25874624,0.769238585,1.438504709,0.814208204,1.092095967,0.780972471,-6.518610417,0.877751673,0.151034558,0.808264808,NA,NA,NA,875076
397085,1206,3812,17.595573,0.827082825,1.305833345,0.85559979,0.374529973,0.845563717,-6.155585268,0.89462059,-0.318724885,0.844914789,NA,NA,875292,850055
2006110,1206,3813,10.59731806,0.949464059,0.401687475,0.968012397,0.149574347,0.952019433,8.510869201,0.964241671,0.401248642,0.959555626,-10.56460262,0.88265112,888926,268330
3180048,1206,3814,16.74758897,0.752436044,0.393903286,0.803707036,0.279675236,0.76795117,-0.528909489,0.802241236,0.179083836,0.702958036,-5.454361818,0.762736521,2006219,2006223
268315,1205,3815,18.27942889,0.991706106,0.092485923,0.993877256,0.034941537,0.990366599,-12.56543403,0.98930885,0.433819927,0.98756215,-1.754657185,0.975260478,NA,NA
306431,1205,3816,15.20037421,0.760798922,0.934610842,0.783941324,0.710283201,0.767790336,9.022327339,0.803894272,-0.133758545,0.797268462,NA,NA,885429,880733
313125,1205,3817,13.05540821,0.879254798,0.966439232,0.907887658,0.746546308,0.891065654,-6.170827428,0.948751812,0.300171447,0.930555211,-11.8475552,0.910521279,2003259,2004035
314439,1205,3818,12.3414881,0.760014474,0.405076323,0.742401509,0.54422406,0.698482641,-3.00781624,0.81723069,0.593054669,0.733929833,-3.64783564,0.720695497,2003025,NA
399068,1205,3819,16.75997413,0.823647983,1.006643919,0.837698036,1.167319271,0.837998807,-3.028484345,0.887891885,0.05321923,0.837358346,-1.798151199,0.790060757,268530,880728
3181268,1205,3820,15.33675398,0.803842024,1.075819639,0.858757242,0.731808684,0.815788576,0.679337976,0.847725781,-0.064490076,0.749658589,-2.678956715,0.817811103,2003193,2003195
3181885,1205,3821,-1.01696667,0.785570493,1.00430659,0.843803887,1.092599583,0.801001873,6.631400725,0.84044869,1.100726266,0.718006964,8.198307348,0.792926857,2004089,2004090
