Tree,Fcln,Mcln
875099,268327,.
288007,875099,875289
2003232,268405,288007
2003248,880739,850530
668022,.,.
2003249,850533,668022
2003255,875076,288106
2003256,850101,850224
2003259,880656,886928
2003266,268054,288404
2003274,875289,288106
2003276,268041,188104
2003280,268323,288405
875007,268044,.
875292,.,.
288406,875007,875292
2003281,268109,288406
2003283,880729,288201
2003287,268405,288007
2003298,875054,288408
288409,875054,875276
2003299,268323,288409
2003303,268323,288409
2003305,875076,288106
2003318,268494,288102
850315,.,.
2003325,188106,850315
2003326,850530,188201
2003327,268528,288304
2003335,268539,288305
2003336,288107,668022
2003343,268528,268059
2003353,268494,288102
2003355,268556,288103
2003363,268109,875292
2003369,880656,880655
2003371,850533,188302
2003372,268041,188113
2003379,875076,288107
2003380,850536,886926
2003388,871099,188106
2003390,875289,288107
2003395,268556,288102
2003397,268323,288013
2003400,875242,288401
2003401,188106,850315
880691,268058,.
2004001,880691,268142
869021,.,.
2004002,869021,880655
867075,.,.
2004003,867075,268041
880768,268019,.
891202,268131,268589
2004004,880768,891202
880638,268118,.
2004005,880638,891202
867079,.,.
2004006,867079,880655
867053,.,.
880761,268218,.
2004007,867053,880761
880647,268229,.
875058,268086,.
2004008,880647,875058
869025,.,.
2004009,869025,880753
869020,.,.
2004010,869020,.
880728,268345,.
2004011,880728,.
869013,.,.
2004012,869013,268005
867065,.,.
2004013,867065,268041
2004014,875007,288406
2004015,880606,875076
880785,268354,.
2004016,880785,875250
880754,268266,.
2004017,.,880754
2004018,875242,268054
869028,.,.
2004019,869028,869021
880675,.,.
2004020,875242,880675
2004021,.,.
875051,268089,.
2004022,875051,875076
2004023,880728,.
2004024,867075,880655
880763,268149,.
2004025,880763,268579
880662,268288,.
2004026,880662,268194
880097,268547,.
2004027,875099,880097
880660,268395,.
2004028,880785,880660
880612,268308,.
891201,268547,875051
2004029,880612,891201
880778,268157,.
875096,268295,.
2004030,880778,875096
2004031,880768,891202
2004032,867075,268041
2004033,880647,875058
2004034,869020,880753
2004035,867075,880655
2004036,880763,268579
2004037,880778,875096
2004038,880606,875076
2004039,880612,891201
2004040,880785,880660
2004041,875242,268054
2004042,.,880754
875206,268162,.
2004043,880675,875206
2004044,880638,891202
2004045,875062,875076
2004046,880728,268452
2004047,869025,268062
2004048,875293,268609
880740,268357,.
2004049,880740,880662
2004050,268274,268609
2004052,268041,268429
875284,268499,.
2004053,268058,875284
875066,268118,.
875033,268162,.
2004054,875066,875033
886120,268405,268222
2004055,850101,886120
875230,268231,.
2004056,268061,875230
875294,268262,.
2004057,268228,875294
2004058,875293,268609
2004059,268041,268429
2004060,268585,268131
880733,268445,268452
880732,268452,.
2004061,880733,880732
2004062,268609,875293
875268,268061,.
2004063,268062,875268
2004064,875051,268117
2004065,880733,880732
875251,268249,.
2004066,875076,875251
2004067,268288,880662
2004068,850530,268515
2004069,268041,268429
2004070,875292,268494
875257,268317,.
2004071,268014,875257
2004072,268371,268007
2004073,875051,268117
2004074,268274,268609
2004075,268591,268232
2004076,850530,268515
2004077,268556,875257
2004078,875062,268123
880770,268280,.
880730,268350,.
2004079,880770,880730
2004080,268288,880662
2004081,268058,875284
2004082,875054,268494
2004083,850101,268131
2004084,875062,268123
2004085,268585,886120
2004086,875054,268494
2004087,875076,875251
2004088,268228,875294
2004089,880740,880662
2004090,268591,268232
2004091,875292,268494
2004092,875066,268162
2004093,268061,875230
2004094,.,.
888757,.,.
2006100,888757,.
888744,.,.
885135,.,.
2006101,888744,885135
888697,.,.
2006102,888697,268604
888806,.,.
2006103,888806,268249
888549,.,.
2006104,888549,.
888624,.,.
2006105,888624,268249
888605,.,.
888539,.,.
2006106,888605,888539
888618,.,.
885198,.,.
2006107,888618,885198
888611,.,.
887738,.,.
2006108,888611,887738
887944,.,.
887771,.,.
2006109,887944,887771
888926,.,.
2006110,888926,268330
888604,.,.
2006111,888604,268317
888552,.,.
2006112,888552,.
888756,.,.
2006113,888756,268537
888818,.,.
2006114,888818,.
888646,.,.
885246,.,.
2006115,888646,885246
887740,.,.
2006116,887740,.
888680,.,.
2006117,888680,.
888709,.,.
2006118,888709,.
888679,.,.
2006119,888679,.
888537,.,.
2006120,888537,.
888560,.,.
2006121,888560,.
2006122,888605,.
888708,.,.
2006123,888708,.
888823,.,.
2006124,888823,.
888901,.,.
887803,.,.
2006125,888901,887803
888655,.,.
2006126,888655,.
888566,.,.
2006127,888566,.
888743,.,.
2006128,888743,888539
888544,850055,.
2006129,888544,.
888937,.,.
2006130,888937,268249
888508,.,.
2006131,888508,885135
888516,.,.
2006132,888516,.
888609,.,.
2006133,888609,.
888704,.,.
2006134,888704,268587
2006135,888680,.
888904,.,.
2006136,888904,.
888644,.,.
2006137,888644,.
888912,.,.
2006138,888912,.
888835,.,.
2006139,888835,.
888630,.,.
2006140,888630,.
888830,.,.
887855,268249,.
2006141,888830,887855
888548,.,.
2006142,888548,.
887915,.,.
2006143,887915,.
888626,.,.
2006144,888626,.
888541,.,.
885338,.,.
2006145,888541,885338
887954,.,.
885025,.,.
2006146,887954,885025
888532,.,.
2006147,888532,.
888527,.,.
2006148,888527,268249
888720,.,.
2006149,888720,.
888844,.,.
2006150,888844,268041
888824,.,.
2006151,888824,.
888808,.,.
870589,.,.
883030,870589,.
2006152,888808,883030
885155,.,.
2006153,888618,885155
888628,.,.
2006154,888628,888539
888530,.,.
885456,.,.
2006155,888530,885456
2006156,888644,268587
888637,.,.
2006157,888637,268249
888741,.,.
885245,.,.
2006158,888741,885245
888565,.,.
2006159,888565,.
2006160,888560,.
888672,.,.
2006161,888672,268451
888642,.,.
2006162,888642,.
888935,.,.
2006163,888935,.
888836,.,.
668055,.,.
887773,668055,.
2006164,888836,887773
887912,.,.
2006165,887912,.
888927,.,.
2006166,888927,885025
888662,.,.
887712,.,.
2006167,888662,887712
888622,.,.
2006168,888622,.
888513,.,.
2006169,888513,.
885345,.,.
2006170,888516,885345
888507,.,.
887717,.,.
2006171,888507,887717
888505,.,.
2006172,888505,268330
2006173,268345,888544
888825,.,.
885047,.,.
2006174,888825,885047
888815,.,.
2006175,888815,.
888833,.,.
885255,.,.
2006176,888833,885255
888820,.,.
2006177,888820,.
888801,.,.
885372,.,.
2006178,888801,885372
888817,.,.
2006179,888817,.
888821,.,.
2006180,888821,885345
888828,.,.
2006181,888828,887855
885405,.,.
2006182,888820,885405
888822,.,.
2006183,888822,.
888843,.,.
885463,.,.
2006184,888843,885463
888920,.,.
2006185,888920,.
888837,.,.
2006186,888837,880740
888805,.,.
885048,668055,.
2006187,888805,885048
870609,.,.
883022,870609,.
2006188,883022,875076
885378,.,.
2006189,885378,268249
850372,.,.
885124,850372,.
885285,.,.
2006190,885124,885285
885166,.,.
885306,.,.
2006191,885166,885306
885201,.,.
2006192,885201,875240
885395,.,.
2006193,885395,.
885222,.,.
2006194,885222,.
885399,.,.
885004,.,.
2006195,885399,885004
885324,.,.
2006196,885324,.
885236,.,.
888722,.,.
2006197,885236,888722
885200,.,.
885283,.,.
2006198,885200,885283
885406,.,.
885028,.,.
2006199,885406,885028
885292,.,.
2006200,885292,.
885468,.,.
2006201,885468,885025
870573,.,.
883073,870573,.
2006202,883073,.
885264,.,.
887726,.,.
2006203,885264,887726
885224,.,.
885317,.,.
2006204,885224,885317
885242,.,.
2006205,885242,885135
885046,.,.
2006206,885046,.
885313,.,.
