Ortet,Index,Rank,EBV_dbh,acc_dbh,EBV_brh,acc_brh,EBV_str,acc_str,EBV_den,acc_den,EBV_pme,acc_pme,EBV_dothi,acc_dothi,Female,Male
288105,2664,118,25.84460554,0.960091142,1.559909298,0.966528323,0.082271654,0.95840336,-0.453566615,0.948448733,0.608336905,0.952126042,-9.372155316,0.95336247,875046,875258
313693,2662,119,38.46404293,0.880600931,1.374187353,0.913247502,0.814586482,0.898290599,-16.21926759,0.950558257,0.313749957,0.929788148,-7.902663536,0.902322005,2003181,2003217
314601,2662,120,24.881852,0.822735681,1.073485192,0.829481163,0.188344688,0.806820922,-8.202811817,0.86887571,1.153650004,0.82643814,-10.22559307,0.833196255,2004008,2003047
397180,2662,121,24.46586155,0.824979394,1.398613446,0.850479277,0.665780508,0.83153653,-4.72748604,0.894731803,1.026307519,0.855007602,NA,NA,875242,268539
313153,2661,122,40.17296539,0.867252558,1.427611884,0.901870279,0.631494311,0.884606692,-17.85146067,0.944060379,0.147130427,0.918121996,-10.61347332,0.898790298,2003217,2004048
314737,2661,123,28.60937639,0.827854456,1.299217143,0.828193214,0.694118577,0.796356704,-10.01803448,0.882917323,0.904407519,0.836421544,-6.619132247,0.854318442,2003181,2003217
397086,2655,124,35.73408323,0.764778399,1.741116724,0.809280545,0.653303535,0.759054675,-10.64877099,0.877904323,0.121785243,0.812318287,NA,NA,268494,NA
894356,2654,125,13.30728414,0.900051665,1.688467157,0.938851426,0.621632649,0.89079515,11.71442708,0.903611089,1.290991746,0.894199083,NA,NA,NA,NA
880728,2651,126,30.69985487,0.991998488,1.393005863,0.993820909,0.787631387,0.991012109,9.372508762,0.989307333,0.332225562,0.987705422,-9.853344301,0.979856112,268345,NA
313673,2647,127,42.05106009,0.878163424,1.309246336,0.910447692,0.272277118,0.891038159,3.781401671,0.948535186,-0.433242079,0.929087725,-15.69779326,0.908144262,2003371,2004048
313548,2641,128,37.70049573,0.881198048,0.748821528,0.909618052,0.461284466,0.890264567,-8.476483891,0.949597283,0.498001515,0.929879024,-14.33461897,0.902647772,2004008,2003047
3182475,2638,129,16.83064954,0.71840657,0.910432166,0.76091721,0.802228299,0.735012925,30.16177619,0.779690323,1.194249805,0.718127426,-7.57311583,0.773734451,2003135,2004020
314221,2635,130,23.00946195,0.809077252,1.357146255,0.827242407,0.660785477,0.786398118,19.43701416,0.875115421,0.650659665,0.806414906,-10.73100748,0.889720181,2003400,2004078
314740,2635,131,33.67460977,0.811314366,1.125068466,0.831057158,0.712899049,0.793169591,-7.910465766,0.873085906,0.587638765,0.805844898,-10.60208465,0.884694297,2003181,2003217
397016,2635,132,22.21836472,0.828845583,0.942643739,0.856607261,0.541766352,0.842192971,7.845469968,0.896188038,1.161246872,0.856666213,NA,NA,268054,875054
399012,2631,133,33.63561316,0.815707055,0.258342544,0.825170285,0.627561393,0.830417365,-5.373429455,0.880986379,1.057831147,0.834219396,0.207141068,0.912133214,880740,268041
2003192,2631,134,11.15993111,0.959143889,1.706519323,0.966580571,1.393619265,0.960902701,4.062937,0.974217635,1.733314298,0.965127971,1.733861231,0.924378169,875054,288302
314763,2629,135,30.71645193,0.821838184,1.691487843,0.844743156,0.764031167,0.818242018,7.496506294,0.878658637,0.14733924,0.816631496,-7.088161924,0.892321691,2004011,2003318
397211,2629,136,37.00294293,0.827528247,1.401632173,0.858855634,0.966897525,0.848702539,-13.69400939,0.894441166,0.344907765,0.852909139,NA,NA,880655,268041
3182479,2628,137,19.22847259,0.754657538,1.007430438,0.807607578,0.899974892,0.763713297,21.6611227,0.819222802,1.140350122,0.735753355,-3.801368354,0.781678962,2003135,2004020
3181201,2627,138,26.41154711,0.721460325,1.071656847,0.76601436,0.663604877,0.722,0.766861857,0.762902353,0.941586516,0.704921981,-8.958251206,0.711644574,2003178,2003179
397449,2624,139,11.93811718,0.811656947,1.808927622,0.855500438,1.075621066,0.800327433,28.3340666,0.898857052,1.059321953,0.854339511,NA,NA,875066,880675
315196,2621,140,22.90593029,0.756458855,1.082814859,0.797908516,0.714168186,0.798917392,32.37839994,0.811138706,0.572931665,0.743248276,NA,NA,2003400,2004078
3181634,2618,141,20.58278618,0.752229353,1.698362182,0.827345152,0.583553335,0.783885196,14.10339157,0.831528713,0.671541448,0.741708838,-8.940017135,0.799045055,2004047,2004049
887944,2613,142,11.50267637,0.891553139,0.639220116,0.935312782,0.341233401,0.901588598,22.26234432,0.526120709,1.750637292,0.517865813,-0.490177939,0.431359479,NA,NA
2006196,2611,143,24.40142675,0.950614538,0.74425699,0.966793153,-0.046810604,0.953032004,-1.220584813,0.966963288,1.138437463,0.95013157,-3.974204032,0.878829904,885324,NA
3182476,2611,144,21.04389529,0.75420289,1.005231244,0.807254607,0.60011539,0.764592702,14.8370076,0.82030665,1.053300421,0.733734284,-5.186837783,0.779444033,2003135,2004020
313150,2604,145,30.21212537,0.879214422,1.402847056,0.908993949,0.600327281,0.891608098,-5.158710856,0.946364095,0.53757941,0.927306853,-10.14919084,0.896804326,2003217,2004048
399245,2604,146,16.6424985,0.821561318,1.44778822,0.831312817,0.711152884,0.832906357,20.35809754,0.883777121,0.9960122,0.835277199,-7.612842539,0.847568876,880739,268532
313581,2601,147,12.48264883,0.861593292,1.403367466,0.895513819,0.342291415,0.881300743,26.29622696,0.940588645,1.110502645,0.92427431,-8.032465469,0.828225815,2003095,2004020
315201,2596,148,23.93200681,0.745434772,1.340109557,0.760512327,0.454623022,0.788900501,20.70464983,0.790218957,0.473241289,0.744407818,NA,NA,2003400,2004078
397179,2596,149,27.5024786,0.823993325,0.964025425,0.855760481,0.488225239,0.842521216,8.057028688,0.895163672,0.710712361,0.852550292,NA,NA,875242,268539
313619,2595,150,19.89153586,0.865670838,0.956045986,0.901354536,0.488363111,0.88646771,-8.027789255,0.94393379,1.561131801,0.921009772,-2.347390494,0.903789245,2004018,2003217
399011,2592,151,22.36262979,0.772450646,1.292210644,0.789929744,0.100253254,0.797728651,-5.948822386,0.868636288,1.040536052,0.797218916,-9.279175721,0.804607358,880740,NA
